user_id,rg,country,language,gender,birth_year,registration_date,first_deposit_date
9822065,1,germany,german,f,1963,2009-11-21,2009-11-21
9622454,1,france,french,f,1981,2009-10-19,2009-10-19
9619356,1,italy,italian,f,1975,2009-10-18,2009-10-18
9593498,1,germany,german,f,1990,2009-10-14,2009-10-14
9531528,1,argentina,spanish,f,1980,2009-10-04,2009-10-05
9484775,1,spain,spanish,f,1965,2009-09-27,2009-09-27
9303388,1,austria,german,f,1981,2009-09-01,2009-09-01
9138407,1,united_kingdom,english,f,1991,2009-08-05,2009-08-15
9174350,1,france,french,f,1976,2009-08-12,2009-08-12
9142202,1,portugal,portuguese,f,1987,2009-08-06,2009-08-06
9093813,1,austria,german,f,1959,2009-07-27,2009-07-27
9029366,1,czech_republic,czech,f,1977,2009-07-14,2009-07-19
8988808,1,germany,german,f,1961,2009-07-05,2009-07-05
7035862,1,belgium,french,f,1969,2008-09-19,2009-06-26
8876590,1,germany,german,f,1975,2009-06-11,2009-06-11
8824256,1,germany,german,f,1977,2009-06-01,2009-06-01
8745352,1,germany,german,f,1980,2009-05-20,2009-05-20
8737010,1,spain,spanish,f,1947,2009-05-18,2009-05-18
7311006,1,poland,polish,f,1957,2008-11-02,2009-05-15
3335713,1,germany,german,f,1987,2006-06-29,2009-05-15
8678849,1,greece,greek,f,1976,2009-05-10,2009-05-12
8585004,1,hungary,hungarian,f,1983,2009-04-28,2009-04-28
6770567,1,germany,german,f,1979,2008-07-06,2009-04-27
8495659,1,germany,german,f,1962,2009-04-17,2009-04-17
8485173,1,germany,german,f,1963,2009-04-16,2009-04-16
8223981,1,switzerland,german,f,1989,2009-03-16,2009-03-16
8068361,1,france,french,f,1976,2009-02-27,2009-02-27
7938906,1,germany,german,f,1928,2009-02-08,2009-02-19
7996728,1,germany,german,f,1950,2009-02-17,2009-02-17
7973162,1,poland,polish,f,1968,2009-02-13,2009-02-13
6795757,1,austria,german,f,1983,2008-07-15,2009-02-06
7878680,1,slovenia,slovenian,f,1968,2009-01-30,2009-02-01
7821776,1,germany,german,f,1984,2009-01-22,2009-01-22
7821179,1,germany,german,f,1979,2009-01-22,2009-01-22
7744142,1,spain,spanish,f,1964,2009-01-11,2009-01-17
7637533,1,united_kingdom,english,f,1981,2008-12-23,2008-12-23
7606420,1,germany,german,f,1988,2008-12-17,2008-12-17
7600109,1,cyprus,english,f,1977,2008-12-16,2008-12-16
7404711,1,poland,polish,f,1980,2008-11-15,2008-11-17
7340853,1,portugal,portuguese,f,1984,2008-11-06,2008-11-06
7331786,1,greece,greek,f,1977,2008-11-05,2008-11-05
7318774,1,germany,german,f,1986,2008-11-03,2008-11-03
7264546,1,belgium,french,f,1982,2008-10-27,2008-10-28
7213503,1,hungary,hungarian,f,1975,2008-10-20,2008-10-20
7192925,1,germany,german,f,1985,2008-10-17,2008-10-17
7114723,1,spain,spanish,f,1974,2008-10-03,2008-10-03
6951493,1,germany,german,f,1970,2008-08-31,2008-09-01
6826846,1,portugal,portuguese,f,1967,2008-07-27,2008-07-29
6797147,1,germany,german,f,1956,2008-07-16,2008-07-21
