user_id,events,first_date,last_date,event_type_first,inter_type_first,ev_desc,inter_desc
2169867,1,2009-11-19,2009-11-19,9,18,Request partial block,Requested Partial Block Not Possible
7035862,1,2009-11-15,2009-11-15,9,18,Request partial block,Requested Partial Block Not Possible
5911218,1,2009-11-08,2009-11-08,9,18,Request partial block,Requested Partial Block Not Possible
5872708,1,2009-11-03,2009-11-03,9,18,Request partial block,Requested Partial Block Not Possible
5746942,2,2009-10-18,2009-11-03,9,18,Request partial block,Requested Partial Block Not Possible
2787151,1,2009-10-27,2009-10-27,9,18,Request partial block,Requested Partial Block Not Possible
8804356,1,2009-10-25,2009-10-25,9,18,Request partial block,Requested Partial Block Not Possible
4622241,1,2009-09-29,2009-09-29,9,18,Request partial block,Requested Partial Block Not Possible
2637579,1,2009-09-16,2009-09-16,9,18,Request partial block,Requested Partial Block Not Possible
6408147,1,2009-09-02,2009-09-02,9,18,Request partial block,Requested Partial Block Not Possible
1376503,1,2009-08-31,2009-08-31,9,18,Request partial block,Requested Partial Block Not Possible
5554333,1,2009-08-31,2009-08-31,9,18,Request partial block,Requested Partial Block Not Possible
1321102,1,2009-08-27,2009-08-27,9,18,Request partial block,Requested Partial Block Not Possible
2369090,1,2009-08-27,2009-08-27,9,18,Request partial block,Requested Partial Block Not Possible
5854655,1,2009-08-20,2009-08-20,9,18,Request partial block,Requested Partial Block Not Possible
3517053,1,2009-08-13,2009-08-13,9,18,Request partial block,Requested Partial Block Not Possible
6745993,1,2009-08-09,2009-08-09,9,18,Request partial block,Requested Partial Block Not Possible
9147789,1,2009-08-09,2009-08-09,9,18,Request partial block,Requested Partial Block Not Possible
5233791,1,2009-04-14,2009-04-14,9,18,Request partial block,Requested Partial Block Not Possible
6528968,2,2009-03-10,2009-04-14,9,18,Request partial block,Requested Partial Block Not Possible
5194256,1,2009-02-27,2009-02-27,9,18,Request partial block,Requested Partial Block Not Possible
5105138,2,2008-12-19,2009-01-13,9,18,Request partial block,Requested Partial Block Not Possible
5560128,1,2008-11-27,2008-11-27,9,18,Request partial block,Requested Partial Block Not Possible
4008596,1,2009-02-17,2009-02-17,2,18,acc close/open from RG,Requested Partial Block Not Possible
9678591,2,2009-11-01,2009-11-01,10,17,Reported Problem,Blocked and Reimbursed
3665378,1,2009-09-16,2009-09-16,10,16,Reported Problem,Remains Blocked
3577635,1,2009-03-25,2009-03-25,10,16,Reported Problem,Remains Blocked
4590533,1,2009-11-03,2009-11-03,8,16,Reported as Minor,Remains Blocked
5250620,1,2009-07-07,2009-07-07,8,16,Reported as Minor,Remains Blocked
3458841,1,2009-01-22,2009-01-22,8,16,Reported as Minor,Remains Blocked
1690828,1,2009-01-13,2009-01-13,8,16,Reported as Minor,Remains Blocked
7976490,1,2009-11-25,2009-11-25,2,16,acc close/open from RG,Remains Blocked
4888078,1,2009-11-20,2009-11-20,2,16,acc close/open from RG,Remains Blocked
6600062,1,2009-11-17,2009-11-17,2,16,acc close/open from RG,Remains Blocked
9377459,1,2009-11-17,2009-11-17,2,16,acc close/open from RG,Remains Blocked
618006,1,2009-11-15,2009-11-15,2,16,acc close/open from RG,Remains Blocked
3479664,2,2009-01-12,2009-11-08,2,16,acc close/open from RG,Remains Blocked
1110869,1,2009-11-05,2009-11-05,2,16,acc close/open from RG,Remains Blocked
5919839,1,2009-11-05,2009-11-05,2,16,acc close/open from RG,Remains Blocked
1467698,1,2009-11-03,2009-11-03,2,16,acc close/open from RG,Remains Blocked
3980898,1,2009-11-03,2009-11-03,2,16,acc close/open from RG,Remains Blocked
921652,1,2009-10-29,2009-10-29,2,16,acc close/open from RG,Remains Blocked
3142810,1,2009-10-27,2009-10-27,2,16,acc close/open from RG,Remains Blocked
4211279,1,2009-10-27,2009-10-27,2,16,acc close/open from RG,Remains Blocked
1528877,1,2009-10-25,2009-10-25,2,16,acc close/open from RG,Remains Blocked
2031783,1,2009-10-21,2009-10-21,2,16,acc close/open from RG,Remains Blocked
1053169,1,2009-10-19,2009-10-19,2,16,acc close/open from RG,Remains Blocked
6788013,1,2009-10-15,2009-10-15,2,16,acc close/open from RG,Remains Blocked
8850404,1,2009-10-14,2009-10-14,2,16,acc close/open from RG,Remains Blocked
2035245,1,2009-10-08,2009-10-08,2,16,acc close/open from RG,Remains Blocked
1055097,1,2009-10-06,2009-10-06,2,16,acc close/open from RG,Remains Blocked
4236352,1,2009-10-06,2009-10-06,2,16,acc close/open from RG,Remains Blocked
4111713,1,2009-10-01,2009-10-01,2,16,acc close/open from RG,Remains Blocked
852596,1,2009-09-30,2009-09-30,2,16,acc close/open from RG,Remains Blocked
1316554,1,2009-09-30,2009-09-30,2,16,acc close/open from RG,Remains Blocked
2732649,1,2009-09-30,2009-09-30,2,16,acc close/open from RG,Remains Blocked
1269446,1,2009-09-24,2009-09-24,2,16,acc close/open from RG,Remains Blocked
1540796,2,2009-08-27,2009-09-24,2,16,acc close/open from RG,Remains Blocked
2907188,2,2008-11-07,2009-09-24,2,16,acc close/open from RG,Remains Blocked
5351172,2,2009-02-05,2009-09-21,2,16,acc close/open from RG,Remains Blocked
1125602,1,2009-09-20,2009-09-20,2,16,acc close/open from RG,Remains Blocked
762613,1,2009-09-17,2009-09-17,2,16,acc close/open from RG,Remains Blocked
3211029,1,2009-09-13,2009-09-13,2,16,acc close/open from RG,Remains Blocked
2108076,2,2009-02-16,2009-09-13,2,16,acc close/open from RG,Remains Blocked
7355155,1,2009-09-09,2009-09-09,2,16,acc close/open from RG,Remains Blocked
3524836,1,2009-09-07,2009-09-07,2,16,acc close/open from RG,Remains Blocked
7701111,1,2009-09-07,2009-09-07,2,16,acc close/open from RG,Remains Blocked
7223699,1,2009-09-02,2009-09-02,2,16,acc close/open from RG,Remains Blocked
954936,1,2009-08-31,2009-08-31,2,16,acc close/open from RG,Remains Blocked
3542327,1,2009-08-31,2009-08-31,2,16,acc close/open from RG,Remains Blocked
4444971,1,2009-08-25,2009-08-25,2,16,acc close/open from RG,Remains Blocked
7938906,1,2009-08-25,2009-08-25,2,16,acc close/open from RG,Remains Blocked
1671815,1,2009-08-24,2009-08-24,2,16,acc close/open from RG,Remains Blocked
2789254,1,2009-08-23,2009-08-23,2,16,acc close/open from RG,Remains Blocked
2403003,1,2009-08-20,2009-08-20,2,16,acc close/open from RG,Remains Blocked
4051960,1,2009-08-17,2009-08-17,2,16,acc close/open from RG,Remains Blocked
654455,1,2009-08-11,2009-08-11,2,16,acc close/open from RG,Remains Blocked
1280671,1,2009-08-10,2009-08-10,2,16,acc close/open from RG,Remains Blocked
4764719,1,2009-08-10,2009-08-10,2,16,acc close/open from RG,Remains Blocked
1102239,1,2009-08-06,2009-08-06,2,16,acc close/open from RG,Remains Blocked
6600359,1,2009-08-06,2009-08-06,2,16,acc close/open from RG,Remains Blocked
9140876,1,2009-08-06,2009-08-06,2,16,acc close/open from RG,Remains Blocked
2141713,1,2009-08-04,2009-08-04,2,16,acc close/open from RG,Remains Blocked
695820,1,2009-07-28,2009-07-28,2,16,acc close/open from RG,Remains Blocked
1307000,1,2009-07-27,2009-07-27,2,16,acc close/open from RG,Remains Blocked
1178665,1,2009-07-24,2009-07-24,2,16,acc close/open from RG,Remains Blocked
6951493,1,2009-07-24,2009-07-24,2,16,acc close/open from RG,Remains Blocked
1556993,1,2009-07-23,2009-07-23,2,16,acc close/open from RG,Remains Blocked
4733608,1,2009-07-23,2009-07-23,2,16,acc close/open from RG,Remains Blocked
2018397,1,2009-07-20,2009-07-20,2,16,acc close/open from RG,Remains Blocked
5386219,1,2009-07-17,2009-07-17,2,16,acc close/open from RG,Remains Blocked
4970372,3,2009-01-27,2009-07-17,2,16,acc close/open from RG,Remains Blocked
2610717,1,2009-07-15,2009-07-15,2,16,acc close/open from RG,Remains Blocked
1602071,1,2009-07-14,2009-07-14,2,16,acc close/open from RG,Remains Blocked
5070927,1,2009-07-14,2009-07-14,2,16,acc close/open from RG,Remains Blocked
713486,1,2009-07-07,2009-07-07,2,16,acc close/open from RG,Remains Blocked
3987134,1,2009-07-07,2009-07-07,2,16,acc close/open from RG,Remains Blocked
6865325,1,2009-07-07,2009-07-07,2,16,acc close/open from RG,Remains Blocked
1398079,5,2009-01-27,2009-07-06,2,16,acc close/open from RG,Remains Blocked
5799772,1,2009-06-30,2009-06-30,2,16,acc close/open from RG,Remains Blocked
6913897,1,2009-06-30,2009-06-30,2,16,acc close/open from RG,Remains Blocked
651781,1,2009-06-29,2009-06-29,2,16,acc close/open from RG,Remains Blocked
1614409,1,2009-06-24,2009-06-24,2,16,acc close/open from RG,Remains Blocked
2187527,1,2009-06-24,2009-06-24,2,16,acc close/open from RG,Remains Blocked
6550161,1,2009-06-24,2009-06-24,2,16,acc close/open from RG,Remains Blocked
6517045,1,2009-06-22,2009-06-22,2,16,acc close/open from RG,Remains Blocked
4693383,1,2009-06-16,2009-06-16,2,16,acc close/open from RG,Remains Blocked
5373487,1,2009-06-16,2009-06-16,2,16,acc close/open from RG,Remains Blocked
5798136,1,2009-06-16,2009-06-16,2,16,acc close/open from RG,Remains Blocked
1646641,1,2009-06-09,2009-06-09,2,16,acc close/open from RG,Remains Blocked
4874828,1,2009-06-09,2009-06-09,2,16,acc close/open from RG,Remains Blocked
5571695,1,2009-06-03,2009-06-03,2,16,acc close/open from RG,Remains Blocked
1579804,1,2009-05-28,2009-05-28,2,16,acc close/open from RG,Remains Blocked
3300769,1,2009-05-28,2009-05-28,2,16,acc close/open from RG,Remains Blocked
5296024,1,2009-05-27,2009-05-27,2,16,acc close/open from RG,Remains Blocked
1791179,1,2009-05-25,2009-05-25,2,16,acc close/open from RG,Remains Blocked
4514270,1,2009-05-25,2009-05-25,2,16,acc close/open from RG,Remains Blocked
3910295,1,2009-05-13,2009-05-13,2,16,acc close/open from RG,Remains Blocked
7967147,1,2009-05-13,2009-05-13,2,16,acc close/open from RG,Remains Blocked
2188068,1,2009-05-12,2009-05-12,2,16,acc close/open from RG,Remains Blocked
5299312,1,2009-05-12,2009-05-12,2,16,acc close/open from RG,Remains Blocked
